COURSE_CODE	COURSE_TITLE	SECTION_ID	ACAD_DEPT	PROC_DEPT	TERM1	TERM2	TERM3	TERM4	START_DATE	END_DATE	NUM_OF_PARTICIPANTS	WEEKLY_HOURS	YEAR	SEARCH_ID1	SEARCH_ID2	SEARCH_ID3	INSTR1	INSTR2	INSTR3	INSTR4	INSTR5	INSTR6	INSTR7	INSTR8	INTSR9	INSTR10	ALL_INSTRUCTORS	OPERATION	OLD_COURSE_CODE	OLD_COURSE_SECTION
AIS301-1NO-01276-1-20238	20238 - AIS301-1NO - Leading People and Effective Communication I (Fall 2023)	AIS301-1NO-01276-1-20238		UOML					01/01/2000	01/01/2100																	c23732856			
AIS401-1N-01277-1-20238	20238 - AIS401-1N - National Security, Leadership Responsibilities and Commissioning Preparation 1 (Fall 2023)	AIS401-1N-01277-1-20238		UOML					01/01/2000	01/01/2100																	c23732856			
AmandaFYD101Sandbox	AmandaFYD101 Sandbox(Fall 2023)	AmandaFYD101Sandbox		UOML					01/01/2000	01/01/2100																	c06517556			
AMS101-K-02532-1-20238	20238 - AMS101-K - Introduction to American Studies (Fall 2023)	AMS101-K-02532-1-20238		UOML					01/01/2000	01/01/2100																	c00135832			
AMS101-P-02454-1-20238	20238 - AMS101-P - Introduction to American Studies (Fall 2023)	AMS101-P-02454-1-20238		UOML					01/01/2000	01/01/2100																	c12061457			
AMS301-SSP-02186-SSP-20235	20235 - AMS301-SSP - Topics in American Studies (Summer 2023)	AMS301-SSP-02186-SSP-20235		UOML					01/01/2000	01/01/2100																	c04043466			
AMS323-A02-01368-5W1-20235	20235 - AMS323-A02 - Topics in American Studies: Politics (Summer 2023)	AMS323-A02-01368-5W1-20235		UOML					01/01/2000	01/01/2100																	c04214724			
AMS401-GH-17215-1-20238	20238 - AMS401-GH - Seminar in American Studies (Fall 2023)	AMS401-GH-17215-1-20238		UOML					01/01/2000	01/01/2100																	c00070444			
AMS501-01-02518-10W-20235	20235 - AMS501-01 - Senior Project (Summer 2023)	AMS501-01-02518-10W-20235		UOML					01/01/2000	01/01/2100																	c06032863			
APY100-SSP-02183-SSP-20235	20235 - APY100-SSP - Introduction to Forensic Investigation (EXP) (Summer 2023)	APY100-SSP-02183-SSP-20235		UOML					01/01/2000	01/01/2100																	c00337215			
APY101-C-02799-1-20238	20238 - APY101-C - Introduction to Anthropology (Fall 2023)	APY101-C-02799-1-20238		UOML					01/01/2000	01/01/2100																	c05565774			
APY101-T-18051-1-20238	20238 - APY101-T - Introduction to Anthropology (Fall 2023)	APY101-T-18051-1-20238		UOML					01/01/2000	01/01/2100																	c23922842			
